0,1,43,Growing up in a slow farming village; you decided you want more out of life; so you decide to leave home in search of something more. After a long day of walking; you eventually make it to the Ankers Woods. You notice a building that looks like a tavern.,Camp in woods,Stop at tavern
1,2,16,Deciding it is best if you keep to yourself; you set up your small camp for the night in the cold dark forest. As your stomach growls you look through your pack for something to eat.,Cook meat,Eat berries
2,3,4,You build a fire and cook the meat you brought. An hour into cooking the meat however; you hear movement in the undergrowth. You look around to see at least three large wolves baring their teeth at you.,Fight wolves,Run
3,0,0,You decide to take on the wolves. Without a weapon; or any experience fighting; the wolves easily tear into you and eat you as well as the meat you were cooking. You have died.,Play again,Play again
4,5,43,After running for a few minutes; you notice the wolves are quickly catching up to you; you also notice the tavern is still nearby.,Run into woods,Run to tavern
5,52,6,After taking your chances of losing the wolves in the forest for a few minutes more; you notice a light in between the trees; perhaps some one elses camp?,Avoid the light,Run towards the light
6,7,16,You run towards the light. As you get close; you hear one of the wolves behind you yelp; you turn to see one of the dogs with an arrow in its front leg. It hurridly limps away; which the other wolves take as a chance to leave. You have been saved by a small camp of maybe 5 people; who tell you they are 'The Wayfarers'; and they would be happy to let you travel with them for protection until they arrive at somewhere more safe.,Accept their protection,Tell them you will be okay
7,8,14,After talking and eating with the group of rangers you discover they are constant travellers; that can live off the land and are very experienced in combat. You consider asking for training from them,Ask for training,Go to sleep
8,9,15,They seem pleased at your request and tell you they are experienced in many methods of combat.,Ask for training in swords,Ask for training in archery
9,10,11,Caleb; one of the younger more enthusiastic wayfarers; gives you a spare sword that is somewhat old; but still sharp. For a moment he starts to demonstrate some basic motions; and you notice he has his back turned to you; and you two are all alone. You think if you start running right now; there's a good chance you can get away from him and the rest of them; with a free sword.,Steal sword and run,Pay attention
10,0,0,You manage to get away from the wayfarers; and now armed with a sword; you become a notorious lone wolf warrior; that wanders around the lands; hardened from the long years solo travelling.,Play again,Play again
11,0,0,You learn a lot from the wayfarers; and they enjoy having you around. Eventually you gain their trust and they offer to keep you on as a wayfarer and travel with them. An offer which you gladly take; and you go on to become one of their best swordsmen.,Play again,Play again
12,0,0,You manage to get away from the wayfarers; and now armed with a sword; you become a notorious lone wolf bowman; that wanders around the lands; hardened from the long years of solo travelling.,Play again,Play again
13,0,0,You learn a lot from the wayfarers; and they enjoy having you around. Eventually you gain their trust and they offer to keep you on as a wayfarer and travel with them. An offer which you gladly take.,Play again,Play again
14,0,0,You learn a lot from the wayfarers; and they enjoy having you around. Eventually you gain their trust and they offer to keep you on as a wayfarer and travel with them. An offer which you gladly take; and you go on to become one of their best bowmen.,Play again,Play again
15,12,13,Fela; one of the younger more enthusiastic wayfarers; gives you a spare sword that is somewhat old; but still sharp. For a moment she starts to demonstrate some basic motions; and you notice she has her back turned to you; and you two are all alone. You think if you start running right now; there's a good chance you can get away from him and the rest of them; with a free bow.,Steal bow and run,Pay attention
16,17,30,You wake up well rested and begin to continue your journey. A few miles down the road you come across a kindly old man also walking in the same direction as you; albiet much slower than you. When you get close you see he has a long grey beard that is as pointy as his tall; wide brimmed hat. And he carries a long wooden staff with a claw on the top. He tells you he could use some company and asks you to travel with him.,Travel with man,Don't travel with man
17,18,28,After a day of travelling with the man and a night of sleeping next to him; you pack up camp with the man you now know to be called Stapes. After relaxing for a while; he offers you a drink that he tells you is the best tasting drink in all the land. Stapes hands you a glass bottle filled with a bright red; bubbling liquid; that for some reason smells like sheep. You have never seen anything like this in your life.,Drink potion,Don't drink potion
18,20,21,"Thinking because of your sheltered upbringing; you simply haven't come across many popular things; you decide to empty the glass. The taste was sharp and sweet; but you realise your body begins to feel strange. Your feel the urge to chew on grass and your body is pulling on itself in different directions. In a sudden billow of smoke you; you hear Stapes laugh; an evil laugh. You notice your hands have turned into hooves and your arms were covered in white wool. Somehow Stapes has turned you into a sheep.""Come now; I shall sell your wool for a few coins in Hallowfell!."" He pulls you with a rope he hastily tied round you.",Try and escape,Follow man
19,0,0,Stapes had power you have never seen before; and you underestimated him. Not wanting you to escape; he again casts his magical lightning on you; and it is too much for your frail sheep body to handle. You have died.,Play again,Play again
20,19,21,You pull on the rope that Stapes is carrying with surprising strength; and the rope slips his hands. You manage to run free for a second; before you see a flash of red lightning crackle around you; and pain cripples your sheep body.,Still try and escape,Follow man
21,23,22,After following Stapes into the busy town of Hallowfell. He ties you to a post outside a store and tells you to wait there.,Pull on rope,Don't pull on rope
22,0,0,Stapes returns outside; behind him; a large butcher with a bloodied white apron and a large cleaver. Without even seeming to slow down he slaughters you right there in the street. You have died.,Play again,Play again
23,25,24,The post you are tied to moves slightly but not enough for you to escape.,pull on rope again,give up
24,0,0,Stapes returns outside; behind him; a large butcher with a bloodied white apron and a large cleaver. Without even seeming to slow down he slaughters you right there in the street. You have died.,Play again,Play again
25,27,26,The post moves significantly this time; almost pulling it free from the loose ground.,pull on rope again,give up
26,0,0,Stapes returns outside; behind him; a large butcher with a bloodied white apron and a large cleaver. Without even seeming to slow down he slaughters you right there in the street. You have died.,Play again,Play again
27,0,0,You are free! Once you have put a large distance between you and the post; you look back and recognise the store as a butcher shop. You also see Stapes and another man stand outside the shop scowling at you. But you are too far for them to catch you if they chased. You run from the town into the forest where you live out your days happily as a sheep.,Play again,Play again
28,18,29,Around midday you set up to rest for lunch; Stapes starts making a stew and you go to gather some water from a nearby stream. You notice the bottle that held the red drink is now laying empty besides Stapes' pack. He must have helped himself after you refused. As you are thinking about this; Stapes offers you some stew.,Eat stew,Don't eat stew
